YR,MON,EMI
1901,1,0.592105
1901,2,0.379387
1901,3,0.398455
1901,4,0.254007
1901,5,0.328772
1901,6,0.212206
1901,7,0.31109
1901,8,0.303614
1901,9,0.0855194
1901,10,-0.0663432
1901,11,-0.369613
1901,12,-0.431595
1902,1,-0.608469
1902,2,-0.367559
1902,3,-0.611761
1902,4,-0.0377375
1902,5,0.515217
1902,6,0.242432
1902,7,0.354615
1902,8,0.475186
1902,9,0.78146
1902,10,0.435819
1902,11,0.449526
1902,12,0.520831
1903,1,0.693599
1903,2,1.00421
1903,3,0.984365
1903,4,0.831311
1903,5,0.448395
1903,6,0.751704
1903,7,0.293075
1903,8,0.652829
1903,9,0.41834
1903,10,0.357041
1903,11,0.156025
1903,12,0.0773211
1904,1,-0.620377
1904,2,-0.0891019
1904,3,0.140843
1904,4,0.209322
1904,5,-0.289138
1904,6,0.0431176
1904,7,0.127711
1904,8,0.00147015
1904,9,-0.0416025
1904,10,0.34737
1904,11,-0.367362
1904,12,0.297829
1905,1,0.260908
1905,2,0.670491
1905,3,0.308128
1905,4,0.287419
1905,5,0.114975
1905,6,-0.220985
1905,7,0.480676
1905,8,0.338283
1905,9,0.816834
1905,10,0.46848
1905,11,0.146817
1905,12,0.581577
1906,1,0.268398
1906,2,0.320152
1906,3,1.07331
1906,4,0.5405
1906,5,0.29124
1906,6,0.358428
1906,7,0.503589
1906,8,0.680114
1906,9,-0.0715811
1906,10,-0.228358
1906,11,0.261026
1906,12,0.0643173
1907,1,0.0103203
1907,2,-0.0312793
1907,3,0.0671421
1907,4,0.0877751
1907,5,0.301789
1907,6,0.0411595
1907,7,0.269149
1907,8,0.488167
1907,9,0.296068
1907,10,-0.0463388
1907,11,0.067728
1907,12,0.127639
1908,1,-0.0542335
1908,2,-0.00892566
1908,3,-0.298277
1908,4,0.220898
1908,5,0.342389
1908,6,-0.263883
1908,7,-0.0489063
1908,8,0.0218799
1908,9,0.210251
1908,10,-0.0203653
1908,11,-0.0907488
1908,12,-0.127382
1909,1,-0.229087
1909,2,-0.039864
1909,3,-0.070986
1909,4,0.0716828
1909,5,0.344887
1909,6,-0.110086
1909,7,-0.281915
1909,8,-0.309417
1909,9,-0.0962583
1909,10,-0.396329
1909,11,-0.464318
1909,12,-0.336991
1910,1,-0.442059
1910,2,-0.354114
1910,3,-0.259493
1910,4,-0.469594
1910,5,-0.53938
1910,6,-0.474311
1910,7,-0.564236
1910,8,-0.496963
1910,9,-0.662817
1910,10,-0.532237
1910,11,-0.389303
1910,12,-0.157032
1911,1,-0.175533
1911,2,0.0277216
1911,3,-0.28997
1911,4,-0.385687
1911,5,-0.000469208
1911,6,-0.34325
1911,7,-0.387757
1911,8,-0.789715
1911,9,-0.529224
1911,10,-0.258662
1911,11,0.235841
1911,12,-0.282387
1912,1,0.358573
1912,2,0.337785
1912,3,0.468683
1912,4,0.290144
1912,5,0.0904609
1912,6,0.0658542
